,treatment_flg
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,1
212,0
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,0
475,1
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,1
529,0
530,0
531,1
