dataset_id,cost_reward_ratio,treat_none,treat_none_phi,treat_all,tret_all_phi,s-learner_policy_1,s-learner_policy_1_phi,s-learner_policy_2,s-learner_policy_2_phi,double_machine_learning_policy_1,double_machine_learning_policy_1_phi,double_machine_learning_policy_2,double_machine_learning_policy_2_phi,x-learner_policy_1,x-learner_policy_1_phi,x-learner_policy_2,x-learner_policy_2_phi,causal_forest_policy_1,causal_forest_policy_1_phi,causal_forest_policy_2,causal_forest_policy_2_phi
0,0.0333333333333333,957900.0,0.0,964366.0,1.0,980486.0,0.3151756856370613,980348.0,0.2989396488177367,958676.0,0.2854820723155726,957154.0,0.2828737218137486,975958.0,0.4537962840455894,978062.0,0.4179031130096206,976968.0,0.4669703441888597,972598.0,0.4744362749730659
1,0.0333333333333333,961560.0,0.0,961442.0,1.0,974180.0,0.347685561456896,975458.0,0.3395202903207515,958888.0,0.37186005632525,960694.0,0.3695352221823199,971290.0,0.4809193490464399,976068.0,0.445593210728259,981468.0,0.4698433099589846,967824.0,0.4774793505585272
2,0.0333333333333333,974760.0,0.0,959484.0,1.0,980748.0,0.2929480030997788,980440.0,0.2823444912771466,980768.0,0.2744249343187102,979868.0,0.2710038369213903,990784.0,0.4498837582928535,986414.0,0.4194341013476477,977932.0,0.4267110212259247,971008.0,0.4360103577976449
3,0.0333333333333333,960240.0,0.0,962846.0,1.0,980948.0,0.3027387680269151,985568.0,0.2875233900996087,987724.0,0.2729317481618689,987862.0,0.26900032131854,982284.0,0.4517927684427391,981044.0,0.4169769595705672,979344.0,0.4343659629160603,988846.0,0.4441000245714178
4,0.0333333333333333,953940.0,0.0,967284.0,1.0,959548.0,0.358081161283006,963824.0,0.3564934696732001,972114.0,0.4098890505982195,972988.0,0.4054283932182887,962104.0,0.4726217702761449,970874.0,0.4490143081255788,969618.0,0.4938476950120022,964210.0,0.4840380289942729
5,0.0333333333333333,969000.0,0.0,964606.0,1.0,982146.0,0.3174438165082125,983638.0,0.3075207439469257,986290.0,0.3482714952652768,985868.0,0.3434139149828945,968208.0,0.4619048519099552,984114.0,0.4243672859924017,985232.0,0.418337838093258,988860.0,0.43236244731321
6,0.0333333333333333,963600.0,0.0,965906.0,1.0,974042.0,0.3268943618046761,976270.0,0.3252310658324985,968450.0,0.3369686430907063,969416.0,0.3315251289999433,971386.0,0.4713553972064188,971680.0,0.4484661764983839,979466.0,0.4371633243238135,962714.0,0.4400551911845313
7,0.0333333333333333,953640.0,0.0,967248.0,1.0,965650.0,0.2974464626608955,965652.0,0.291095696221672,972752.0,0.2815317443816508,973120.0,0.2766552630086756,959366.0,0.4471809023380649,980204.0,0.4203602547867012,968238.0,0.4334587105675997,978910.0,0.4343281607348744
8,0.0333333333333333,955500.0,0.0,958574.0,1.0,982084.0,0.2759937248379231,980014.0,0.2630653788723609,952368.0,0.2109172699264747,953174.0,0.2081955128810932,973378.0,0.4358969512540873,980516.0,0.399909274765154,956724.0,0.4080178426295197,969876.0,0.4218156387623566
9,0.0333333333333333,956280.0,0.0,953348.0,1.0,976146.0,0.2634055985030336,980864.0,0.2528398888615873,963844.0,0.1903150811801841,966976.0,0.1818851947757385,974736.0,0.4371633243238135,970760.0,0.3941255410437182,967096.0,0.381707524524165,976846.0,0.3943334530402404
10,0.0333333333333333,966180.0,0.0,946578.0,1.0,976896.0,0.2507796699869582,978382.0,0.2364148411363335,965992.0,0.3121893133233787,967356.0,0.3094486551874043,951736.0,0.4593910068610959,960974.0,0.4282798117451377,967070.0,0.4407923337176555,975070.0,0.4572551836240951
11,0.0333333333333333,960180.0,0.0,963582.0,1.0,977202.0,0.3243616156652238,976312.0,0.3174438165082125,966348.0,0.3499536923280473,963174.0,0.3454741338575235,966084.0,0.4522463946169694,959602.0,0.4265787135917742,983234.0,0.4449883758292853,968056.0,0.4503562855576767
12,0.0333333333333333,973140.0,0.0,947252.0,1.0,992894.0,0.290320751507362,994732.0,0.2796227342317651,975520.0,0.2418583552270966,976652.0,0.2356398964220235,972532.0,0.4470107925227286,972634.0,0.4103993800442285,966964.0,0.442720244958134,975276.0,0.4611488082862381
13,0.0333333333333333,958440.0,0.0,969704.0,1.0,978878.0,0.2784130644338178,974516.0,0.2687168049596461,974770.0,0.2772600979076492,971536.0,0.2723458143534882,975790.0,0.4603360613907422,979388.0,0.4291681630030052,986534.0,0.4377303570416013,979608.0,0.4446292551080197
14,0.0333333333333333,964800.0,0.0,952692.0,1.0,975408.0,0.2937418489046818,975936.0,0.2889787740752641,964830.0,0.2907176744098134,964538.0,0.2889031697128924,965704.0,0.4575197988923961,968636.0,0.4236301434592776,974544.0,0.4234978358251271,969594.0,0.4237435500028351
15,0.0333333333333333,942840.0,0.0,961116.0,1.0,968066.0,0.2389475872757858,971440.0,0.2280038558224809,951950.0,0.2169278167350256,953614.0,0.2135256204282987,963080.0,0.4523787022511198,966518.0,0.4187158599051165,963764.0,0.4110231160337951,955728.0,0.4188292664486741
16,0.0333333333333333,960660.0,0.0,968642.0,1.0,971580.0,0.2889409718940783,974696.0,0.2756913073884363,971256.0,0.2778649328066229,972470.0,0.2729506492524619,971612.0,0.451565955355624,970436.0,0.4246130001701098,975110.0,0.4372200275955922,977590.0,0.4532670535089875
17,0.0333333333333333,964260.0,0.0,962884.0,1.0,986254.0,0.2961611885005765,982898.0,0.2875611922807946,977976.0,0.2926077834691061,977864.0,0.2870130606535997,979590.0,0.4614890279169108,983726.0,0.4319277222295726,983534.0,0.4275993724837923,977800.0,0.4314362938741565
18,0.0333333333333333,973560.0,0.0,952824.0,1.0,969438.0,0.3039295367342696,975650.0,0.293420530364602,978584.0,0.2767308673710473,979476.0,0.2728183416183113,968794.0,0.4581435348819627,970586.0,0.4239703630899503,971348.0,0.4104182811348215,968470.0,0.422477176933109
19,0.0333333333333333,953400.0,0.0,974108.0,1.0,987056.0,0.3690437938269038,989508.0,0.3605005008789007,985592.0,0.3659062127884779,983308.0,0.3626552252064944,986096.0,0.4662332016557355,988842.0,0.4472754077910295,982186.0,0.4691061674258605,974236.0,0.4738692422552781
20,0.0333333333333333,966240.0,0.0,956970.0,1.0,985246.0,0.2402517625266978,983014.0,0.2308768215926059,976526.0,0.2108038633829172,976632.0,0.2063810081841722,975278.0,0.4356701381669722,981322.0,0.3917062014478235,987882.0,0.3842780728448031,983516.0,0.3994556485909237
21,0.0333333333333333,967620.0,0.0,958156.0,1.0,986952.0,0.3058007447029693,981750.0,0.28979152097076,979014.0,0.3017181091348971,980024.0,0.2974464626608955,972528.0,0.4617158410040259,975038.0,0.4306235469786607,983558.0,0.4374846428638932,987398.0,0.447143100156879
22,0.0333333333333333,968280.0,0.0,954898.0,1.0,973664.0,0.3416750146483452,983062.0,0.3356833689303873,973388.0,0.3395958946831232,970608.0,0.334965127487856,972966.0,0.4637004555162833,981434.0,0.4361426654317954,973600.0,0.4504318899200484,973892.0,0.4595611166764322
23,0.0333333333333333,968280.0,0.0,946418.0,1.0,976016.0,0.2851796548660857,973818.0,0.2807946018485266,969324.0,0.2709849358307974,969870.0,0.2660706522766363,946220.0,0.4764019883947303,964828.0,0.4460279358118963,956086.0,0.4456877161812236,965238.0,0.4478991437805961
24,0.0333333333333333,946500.0,0.0,955836.0,1.0,976790.0,0.3161207401667076,977190.0,0.3103181053546789,955504.0,0.3385185325193263,954740.0,0.3358156765645377,960362.0,0.4646833122271155,974242.0,0.4372956319579639,972662.0,0.447143100156879,964402.0,0.4547791407564216
25,0.0333333333333333,965640.0,0.0,956492.0,1.0,972364.0,0.2802086680401459,971150.0,0.2689814202279471,970184.0,0.2577163702345625,972522.0,0.2501937361785775,964712.0,0.4420965089685675,969298.0,0.4129132250930878,977700.0,0.4107585007654942,971952.0,0.4235923412780917
26,0.0333333333333333,969720.0,0.0,973098.0,1.0,990066.0,0.2825902054548547,989716.0,0.2760504281097019,973644.0,0.2724970230782316,975976.0,0.2676394427958493,965408.0,0.4500349670175969,965162.0,0.4257659666962783,987382.0,0.4363883796095034,979518.0,0.4519250760768896
27,0.0333333333333333,962220.0,0.0,964156.0,1.0,971592.0,0.3642429168163003,971476.0,0.3588939081785019,977394.0,0.2983915171905419,977110.0,0.295499650329824,966868.0,0.4824314362938741,968468.0,0.4630767195267167,974942.0,0.4793127563460411,971212.0,0.4798041847014572
